date,open,high,low,close
2016-12-22,8.82,8.84,8.68,8.78
2016-12-21,8.8,8.95,8.71,8.88
2016-12-20,8.69,8.85,8.59,8.75
2016-12-19,8.82,8.89,8.6,8.61
2016-12-16,8.79,8.98,8.66,8.85
2016-12-15,8.81,9.03,8.76,8.9
2016-12-14,9.19,9.2,8.71,8.81
2016-12-13,9.57,9.63,9.1,9.31
2016-12-12,9.82,9.89,9.34,9.61
2016-12-09,9.21,10.22,9.15,10.11
2016-12-08,9.46,9.5,9.28,9.3
2016-12-07,9.4,9.5,9.25,9.49
2016-12-06,9.49,9.56,9.27,9.45
2016-12-05,9.95,10.0,9.34,9.44
2016-12-02,10.55,10.75,10.27,10.38
2016-12-01,11.0,11.14,10.62,10.73
2016-11-30,11.11,11.45,10.68,11.02
2016-11-29,10.17,11.36,10.17,11.17
2016-11-28,9.8,10.33,9.65,10.33
2016-11-25,9.25,9.45,9.15,9.39
2016-11-24,9.1,9.22,9.0,9.05
2016-11-23,8.98,9.19,8.83,9.18
2016-11-22,8.54,9.16,8.49,9.06
2016-11-21,8.25,8.97,8.2,8.5
2016-11-18,8.57,8.67,8.14,8.2
2016-11-17,7.77,8.11,7.76,8.08
2016-11-16,7.88,7.9,7.73,7.82
2016-11-15,8.01,8.09,7.9,7.93
2016-11-14,8.08,8.26,7.88,8.08
2016-11-11,7.93,8.25,7.93,8.07
2016-11-10,8.03,8.28,7.97,8.02
2016-11-09,7.84,8.19,7.78,8.0
2016-11-08,8.22,8.28,7.84,7.87
2016-11-07,8.0,8.3,7.84,8.24
2016-11-04,7.93,8.23,7.85,8.03
2016-11-03,7.01,7.72,7.0,7.72
2016-11-02,7.19,7.21,7.01,7.03
2016-11-01,7.19,7.25,7.12,7.23
2016-10-31,7.24,7.28,7.17,7.18
2016-10-28,7.34,7.45,7.2,7.23
2016-10-27,7.53,7.58,7.28,7.33
2016-10-26,7.68,8.0,7.49,7.51
2016-10-25,7.48,7.74,7.4,7.72
